Transaction ID,Transactions
Trans1,"Hammer, Nails"
Trans2,"Paint, Screwdriver"
Trans3,"Garden Hose, Rake"
Trans4,"Light Bulbs, Extension Cord, Nails"
Trans5,"Hammer, Pliers, Nails"
Trans6,"Paint, Screwdriver, Caulk"
Trans7,"Rake, Garden Hose, Pliers, Light Bulbs"
Trans8,"Hammer, Nails, Caulk"
Trans9,"Extension Cord, Light Bulbs"
Trans10,"Paint, Screwdriver, Hammer, Pliers, Nails"
Trans11,"Rake, Caulk"
Trans12,"Garden Hose, Pliers, Light Bulbs"
Trans13,"Nails, Paint, Caulk"
Trans14,"Screwdriver, Extension Cord, Rake"
Trans15,"Hammer, Nails, Pliers, Light Bulbs"
Trans16,"Garden Hose, Paint, Rake"
Trans17,"Hammer, Caulk"
Trans18,"Nails, Extension Cord, Pliers"
Trans19,"Rake, Light Bulbs, Screwdriver, Caulk"
Trans20,"Hammer, Paint, Pliers, Nails, Extension Cord"